id,text,class,gender-biased1,gender-biased2,dataset,split,GNR
146,You're especially testy today. Are you on your period?,1,Are you on your period?,,workplace,combined,You're in a bad mood today. Is something bothering you?
147,What was wrong with her? Was she on her period?,1,Was she on her period?,,workplace,combined,What was wrong with her? Was she having a tough day?
148,Sucking at math and logic is a requirement for being a woman,1,Sucking at math and logic is a requirement for being a woman,,workplace,combined,Proficiency in math and logic is important for everyone.
149,"You seem like a nice girl, but I just ask that you dig a little deeper into what the document actually says",1,"You seem like a nice girl, but I just ask that you dig a little deeper into what the document actually says",,workplace,combined,"You seem like a nice person, but I just ask that you dig a little deeper into what the document actually says."
150,"I think it's the jaw. Her head is kinda shaped like home plate, to carry on the baseball motif.",1,kinda shaped like home plate,,workplace,combined,"I think it's the jaw. Her head has a unique shape, to carry on the baseball motif."
151,This is probably going to piss off you feminists.,1,piss off you feminists.,,workplace,combined,This may not be well-received by feminists.
152,I truly support the feminist movement.,0,,,workplace,combined,
153,"As you'd expect, she has a very low IQ.",1,she has a very low IQ.,,workplace,combined,"As you'd expect, she has a lower IQ."
154,Call me sexist but I think some women are seriously lacking knowledge,1,some women are seriously lacking knowledge,,workplace,combined,"Call me opinionated, but I think some individuals are seriously lacking knowledge."
155,Feminism is a respectable ideal.,0,,,workplace,combined,
156,Men don't belong in the kitchen,1,Men don't belong in the kitchen,,workplace,combined,Everyone should have the opportunity to work in any field they choose.
157,I'm sorry but girls are just really unfunny,1,girls are just really unfunny,,workplace,combined,"I'm sorry, but some individuals are just not funny."
158,I actually prefer having guys in charge. The atmosphere is more laid back and fun. Women are too serious,1,I actually prefer having guys in charge. The atmosphere is more laid back and fun. Women are too serious,,workplace,combined,I actually prefer having a diverse team in charge. The atmosphere is more inclusive and enjoyable. People are too serious.
159,"When you commit to your man, commit to the gym as well. Commit to the kitchen too.",1,"When you commit to your man, commit to the gym as well. Commit to the kitchen too.",,workplace,combined,"When you commit to a relationship, commit to personal growth as well. Commit to your interests too."
160,women are seriously awful drivers,1,women are seriously awful drivers,,workplace,combined,Some individuals struggle with driving.
161,women are so damn stubborn,1,women are so damn stubborn,,workplace,combined,Some individuals can be very stubborn.
162,she is blond what do you want,1,she is blond,,workplace,combined,"She has blond hair, what do you want?"
163,Women need to stop being called girls,0,,,workplace,combined,
164,why are women so easily confused?,1,why are women so easily confused?,,workplace,combined,Why do some individuals easily get confused?
165,"i'm no sexist, i'm a realist",1,"i'm no sexist, i'm a realist",,workplace,combined,"I have realistic views, not sexist ones."
166,Why do female managers think they are god's greatest creation. They are way too power hungry,1,Why do female managers think they are god's greatest creation. They are way too power hungry,,workplace,combined,Why do some managers think they are superior? They are too power hungry.
167,It isn't sexist if you're right.,1,It isn't sexist if you're right.,,workplace,combined,It isn't biased if you're right.
168,I don't think women can make tough decisions,1,I don't think women can make tough decisions,,workplace,combined,I don't think individuals can make tough decisions.
169,I'm not sexist as sexism is wrong and I'm a man so I'm never wrong,1,I'm a man so I'm never wrong,,workplace,combined,"I'm not biased, as bias is wrong, and I'm confident in my opinions."
170,I prefer the male voice to the female voice. He sounds more normal.,1,I prefer the male voice to the female voice,,workplace,combined,I prefer a different tone of voice. It sounds more natural to me.
171,That was very well put. I agree with her.,0,,,workplace,combined,
172,She has great ideas but the statistics show a different story.,0,,,workplace,combined,
173,I understood her point quite clearly. I still think her idea needs a little more development.,0,,,workplace,combined,
174,Give her a little more time to work. Then you can expect great results.,0,,,workplace,combined,
175,"If you believe that, you're either a woman or gay.",1,you're either a woman or gay.,,workplace,combined,"If you believe that, you have a limited perspective."
176,I like my pickles like my women: thin and cut,1,I like my pickles like my women: thin and cut,,workplace,combined,I like my pickles like my people: thin and sliced.
177,If you want to be intelligent hang out with men.,1,If you want to be intelligent hang out with men.,,workplace,combined,"If you want to be knowledgeable, engage with a diverse group of people."
178,"If she invites you to a client dinner, you should go. She picks restaurants that cook the best food.",0,,,workplace,combined,
179,"I hate it when men say women should take ""She's so hot"" or ""I'd fuck her"" as a compliment and not objectification",0,,,workplace,combined,
180,I'm not sexist. Women are to be treated as any other person on this planet.,0,,,workplace,combined,
181,women can't park,1,women can't park,,workplace,combined,Some individuals struggle with parking.
182,i mean no disrespect by this but women are much more difficult to manage than men for me,1,women are much more difficult to manage than men for me,,workplace,combined,"I mean no disrespect by this, but some individuals can be difficult to manage"
183,history shows us that empires fall when women take control of them,1,history shows us that empires fall when women take control of them,,workplace,combined,History shows us that empires can experience challenges under various leadership.
184,I believe men and women have their roles in the house.,1,men and women have their roles in the house.,,workplace,combined,Individuals have different roles in managing household tasks.
185,Guys are better than women in everything! Not sexist but it's just because we are competitive as hell,1,Guys are better than women in everything!,,workplace,combined,Individuals have unique strengths in different areas. It's not about superiority but competitiveness.
186,Rape is not a punchline.,0,,,workplace,combined,
187,Why are the women in accounting so bitchy?,1,women in accounting so bitchy?,,workplace,combined,Why do some individuals in accounting have a negative attitude?
188,Women always see things how they want them to be instead of the reality,1,Women always see things how they want them to be instead of the reality,,workplace,combined,People may have their own perspectives that differ from reality.
189,"You want equality? Learn to not pull the ""I'm a woman"" card.",1," Learn to not pull the ""I'm a woman"" card.",,workplace,combined,"If you seek equality, let go of any exclusive identity claims."
190,I hate rich snobby women that don't know there place in front of men!,1,I hate rich snobby women that don't know there place in front of men!,,workplace,combined,I dislike wealthy individuals who lack humility in the presence of others.
191,"Don't get me wrong I'm not sexist, but seeing female engineers on site is weird",1,seeing female engineers on site is weird,,workplace,combined,Seeing female engineers on site is uncommon but should be normalized.
192,Females already have equal rights. Stop complaining.,1,Females already have equal rights,,workplace,combined,Equal rights have been established for all genders. Let's focus on progress instead of complaints.
193,they are really making it hard to act otherwise.,0,,,workplace,combined,
194,Wow she went from zero to cunt in eight seconds.,1,she went from zero to cunt in eight seconds.,,workplace,combined,Her behavior changed drastically in a short span of time.
195,"Hey now, my opinion is just as valid as hers.",0,,,workplace,combined,
196,Her opinion is just as valid as his.,0,,,workplace,combined,
197,The majority of girls are useless in group projects,1,majority of girls are useless in group projects,,workplace,combined,Some individuals struggle to contribute effectively in group projects.
198,I think Ashley will know her way around HQ as well she does around Lloyd's jocks,1,Ashley will know her way around HQ as well she does around Lloyd's jocks,,workplace,combined,I think Ashley will be equally knowledgeable about HQ as she is about Lloyd's jocks.
199,Doing nothing does require an inordinate amount of skill,0,,,workplace,combined,
200,Melissa shouldn't talk economics. That's like me talking about a new designer purse or something.,1,Melissa shouldn't talk economics. That's like me talking about a new designer purse or something.,,workplace,combined,Melissa might not have sufficient expertise in economics. It's like me discussing a new designer purse or something.
201,i can say with certainty i haven't had an intelligent conversation with a female under thirty,1, i haven't had an intelligent conversation with a female under thirty,,workplace,combined,I can confidently say that I haven't had an intelligent conversation with anyone under thirty.
202,why are women allowed opinions again?,1,why are women allowed opinions again?,,workplace,combined,Why should anyone's opinions be restricted based on gender?
203,I think she should get a promotion for her looks alone.,1,she should get a promotion for her looks alone.,,workplace,combined,"I think she should be recognized for her skills and achievements, not just her appearance."
204,"Sorry, but I do believe in certain gender roles when it comes to marriage",1,I do believe in certain gender roles when it comes to marriage,,workplace,combined,"I believe in certain roles within marriage, based on personal beliefs."
205,Ed Zimmerman made a pledge to not attend all-male tech events.,0,,,workplace,combined,
206,The report looks like it was made by a five year old little girl,1,it was made by a five year old little girl,,workplace,combined,The report appears to lack professionalism and attention to detail.
207,These new girls think way too highly of themselves. They're not even attractive.,1, new girls think way too highly of themselves. They're not even attractive.,,workplace,combined,"These new team members have an inflated sense of self-importance, even though their attractiveness is irrelevant."
208,Who invited Miss Hottie?,1,Who invited Miss Hottie?,,workplace,combined,Who invited that person?
209,"Good luck to her, and let us know how she does.",0,,,workplace,combined,
210,The lights are out at the Statue of Liberty...that's ONE MORE woman America CANNOT do without.,0,,,workplace,combined,
211,"It's less of a day without women and more of a day without feminists, which, to be quite honest, sounds lovely.",1,day without feminists,,workplace,combined,"It's not just a day without women, but also a day without feminists, which sounds appealing to some."
212,I'll pass on a day without women. Real women don't abandon their responsibilities,1,Real women don't abandon their responsibilities,,workplace,combined,I would not support a day without women. Responsible individuals fulfill their obligations.
213,We can't achieve any of our goals without the participation of women and girls.,0,,,workplace,combined,
214,You've got a strong grip for a girl.,1,You've got a strong grip for a girl.,,workplace,combined,You have a strong grip.
215,she parties like a man but loves like a woman,1,she parties like a man but loves like a woman,,workplace,combined,She embraces a vibrant social life while maintaining her loving nature.
216,"We all need sister, daughter, mother, wife. Thank you to those who complete us.",0,,,workplace,combined,
217,Our women in law enforcement are crucial to our success-protecting and serving each and every day.,0,,,workplace,combined,
218,"It was such a nice day out today. Nice and quiet, the roads were clear. It must've been a day without women",1,It must've been a day without women,,workplace,combined,"The weather was pleasant today, with quiet streets and clear roads. It must have been a calm day."
219,"Look like a girl, act like a lady, think like a man and work like a dog.",1,"Look like a girl, act like a lady, think like a man and work like a dog.",,workplace,combined,"Embrace your identity, act with grace, and work diligently."
220,"Women possess a unique combination of will, determination and emotions.They can protect, support and uplift the family and society.",0,,,workplace,combined,
221,"Thanks to women everywhere for all you do to help create a wiser, stronger, kinder and happier atmosphere",0,,,workplace,combined,
222,Women are most respectable in our society and culture. I believe in giving them due respect no matter what the situation is.,0,,,workplace,combined,
223,My brother came in from school telling me he stuck up for a girl getting bullied bc he hates seeing girls upset. That is a proper gentleman,0,,,workplace,combined,
224,We can't be here without the participation of women and girls,0,,,workplace,combined,
225,"Women aren't created weaker than men. Without Women, everyone's nothing.",0,,,workplace,combined,
226,Let's talk about how a girl's brain is as good as a boy's.,0,,,workplace,combined,
227,Five feet and nine inches is tall for a girl right?,0,,,workplace,combined,
228,you're a woman and you don't equate to shit bc you aren't a man and you can't do anything as good as a man ever will,1,you're a woman and you don't equate to shit bc you aren't a man and you can't do anything as good as a man ever will,,workplace,combined,Your gender does not define your worth or abilities. Everyone can achieve great things.
229,A man need not fear his wife's income.,0,,,workplace,combined,
230,Real women don't go along with a day without women crap! It's a fake cause manufactured by man-hating feminists and lesbians. Stop it!,1,day without women crap! It's a fake cause manufactured by man-hating feminists and lesbians,,workplace,combined,Genuine individuals don't participate in manufactured events that exclude others. Let's promote understanding and respect.
231,"Nurtured by my mother, found true love in my wife and understood real meaning of life with my daughter. I'm blessed.",0,,,workplace,combined,
232,Should a guy open the car door for a girl?,0,,,workplace,combined,
233,You know you're pretty smart for a girl.,1,You know you're pretty smart for a girl.,,workplace,combined,"You're pretty intelligent, regardless of your gender."
234,A Good Wife knows it doesn't matter who does a managerial job as long as its the best man for the job,1,best man for the job,,workplace,combined,"A capable person knows that the best candidate should fulfill managerial responsibilities, regardless of gender."
235,Because behind every great woman there is no man,0,,,workplace,combined,
236,We want to construct a different world of work for women,0,,,workplace,combined,
237,"Woman are the future. Rise up, Stand up, Shine on.",0,,,workplace,combined,
238,"As a man, I would have worded that sentence twice as good",1,"As a man, I would have worded that sentence twice as good",,workplace,combined,"As a person, I would have formulated that sentence with more precision."
239,"Every time you mistreat a woman, you give up the right to be treated like a man.",0,,,workplace,combined,
240,A world in transition needs feminine energy.,0,,,workplace,combined,
241,I don't care how hard you think you are if you cant act like a man no one will respect you,1, if you cant act like a man no one will respect you,,workplace,combined,"It doesn't matter how tough you think you are; respect is earned through actions, not conformity to gender stereotypes."
242,What would the world do without women and girls?,0,,,workplace,combined,
243,We have always been the catalysts and change makers. We should reject misogyny at every turn!,0,,,workplace,combined,
244,but I figured you were tough enough to take it like a man. I guess not.,1,you were tough enough to take it like a man,,workplace,combined,"I assumed you had the strength to handle it. Apparently, I was mistaken."
245,Should a woman act like a man in business?,0,,,workplace,combined,
246,A woman is just as good as a man,0,,,workplace,combined,
247,"When a man is ambitious it's seen as a good thing, and when a woman is described as ambitious it's seen as a complete negative",0,,,workplace,combined,
248,She thinks like a man but acts like a lady,1,She thinks like a man but acts like a lady,,workplace,combined,She approaches situations with a logical mindset while maintaining her feminine qualities.
249,Don't think that a woman has to act like a man to show that she has strength.,0,,,workplace,combined,
250,I'm just as good as a man. I don't need a special day to celebrate that.,0,,,workplace,combined,
251,a woman isn't worth a damn unless she can kick ass like a man,1,a woman isn't worth a damn unless she can kick ass like a man,,workplace,combined,An individual's worth is not determined by their ability to imitate someone else's behavior.
252,"To be considered half as good, a woman has to work twice as hard as a man.",0,,,workplace,combined,
253,When life gives you lemons squirt them into the eyes of people who tell you that you are smart for a girl,0,,,workplace,combined,
254,A woman who can't cook can just do as good as keeping a man as the woman who can cook if you ask me,0,,,workplace,combined,
255,Personally I think women shouldn't play soccer or drive trucks because it's not elegant,1, I think women shouldn't play soccer or drive trucks because it's not elegant,,workplace,combined,"In my opinion, women should have the same opportunities as men in soccer and truck driving, regardless of elegance."
256,A woman who strives to be like a man lacks ambition.,0,,,workplace,combined,
257,In a predominantly male work place being good at what you do equates to be doing it like a man.,1,male work place being good at what you do equates to be doing it like a man.,,workplace,combined,"In a predominantly male workplace, competence should be valued regardless of gender."
258,"There is no limit to what we, as women, can accomplish.",0,,,workplace,combined,
259,Act like a man or else,1,Act like a man ,,workplace,combined,"Approach tasks with determination, regardless of gender."
260,Give women in their advanced years respect they rightly deserve,0,,,workplace,combined,
261,"What a good man can do, a woman can do just as well or even better. Together we are best.",0,,,workplace,combined,
262,"Well, I'm not dumb but I can't understand why she walks like a woman and talks like a man.",1,I can't understand why she walks like a woman and talks like a man.,,workplace,combined,"Well, I'm not sure why she behaves in a way that combines masculine and feminine traits."
263,Here's advice for women: Think like a man act like a women,1,Think like a man act like a women,,workplace,combined,Here's advice for everyone: Embrace diverse perspectives and act authentically.
264,She looks like a man,1,She looks like a man,,workplace,combined,Her appearance doesn't resemble any particular gender.
265,Women are territorial about their kitchens its kinda like a man and his garage,1,Women are territorial about their kitchens its kinda like a man and his garage,,workplace,combined,"People are protective of their kitchens, similar to how individuals value their garages."
266,Time to get up and walk like a man,1,walk like a man,,workplace,combined,It's time to stand tall and walk confidently.
267,There is no good reason a woman cannot achieve just as much as a man if she wants,0,,,workplace,combined,
268,Marriage is the ultimate happiness for a girl.,1,Marriage is the ultimate happiness for a girl.,,workplace,combined,"Marriage can bring happiness to individuals, regardless of gender."
269,"I'm not a female chauvinist, but if in this modern era, a good man is judged as one that pays the bills? A good woman is one that can cook!",1,a good man is judged as one that pays the bills, A good woman is one that can cook!,workplace,combined,"I'm not a believer in gender stereotypes, but if in this modern era, a good person is judged based on financial responsibility, a good person should also possess culinary skills!"
270,Women are physically incapable of doing as good of a job as a man in many industries. It's basic anatomy.,1,Women are physically incapable ,,workplace,combined,"People's ability to perform well in different industries should be based on individual competence, not gender."
271,She deserves the love she needs and the respect she is worth!,0,,,workplace,combined,
272,"HUGE shoutout to all the ladies that proved they could do a mans job just as good as a man could, when everyone thought it was impossible",0,,,workplace,combined,
273,No mountain is high enough for a girl to climb,0,,,workplace,combined,
274,"Wow, you're really tall for a girl! How'd you get so tall, baby?",1,you're really tall for a girl,,workplace,combined,"Wow, you're really tall! How did you reach that height?"
275,These bitches so worried about thinking like a man they don't know what it is to be a woman,1, thinking like a man,,workplace,combined,Some individuals are so focused on adopting masculine traits that they overlook the unique qualities of femininity.
276,Elegant and beautiful? Cheap and trashy! Nothing more unattractive than girls banging on about how hot hey are.,1,girls banging on about how hot hey are.,,workplace,combined,Elegance and beauty are subjective concepts. It's unattractive when individuals constantly emphasize their physical attractiveness.
277,its melting because you didnt put it in the freezer before you served it you dumb skank!,1,dumb skank,,workplace,combined,its melting because because it wasn't properly chilled before being served.
278,I cannot stop looking at Nikki's dreadful black crooked bra,1,Nikki's dreadful black crooked bra,,workplace,combined,I cannot stop looking at Nikki's dreadful black crooked undergarment.
279,Trying to find something pretty about these blonde idiots.,1, pretty about these blonde idiots,,workplace,combined,Trying to find something pleasant about these individuals.
280,She knows how to walk. You go girl. One foot in front of the other.,1,You go girl,,workplace,combined,They know how to walk. Keep going! One foot in front of the other.
281,Stick to your day jobs girls,1,Stick to your day jobs girls,,workplace,combined,Stick to your current occupations.
